;0;12;24;36;48;60;72;84;96;108;120;132;144;156;168;180;cod_regsaud
2020-01;1.0;1.0;1.0;1.0;1.0;;;;;;;;;;;;31092
2022-01;1.0;1.0;1.0;;;;;;;;;;;;;;31092
2024-01;1.0;;;;;;;;;;;;;;;;31092
2009-01;1.0;1.0;1.0;1.0;1.0;;;;;;;;;;;;31024
2010-01;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;31024
2012-01;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;;;31024
2013-01;1.0;1.0;1.0;1.0;1.0;1.0;;;;;;;;;;;31024
2015-01;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;;;;;;31024
2016-01;2.0;2.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;;;;;;;;31024
2018-01;8.0;1.0;4.0;4.0;4.0;4.0;4.0;;;;;;;;;;31024
2019-01;3.0;3.0;3.0;2.0;2.0;2.0;;;;;;;;;;;31024
2020-01;1.0;1.0;1.0;1.0;1.0;;;;;;;;;;;;31024
2024-01;1.0;;;;;;;;;;;;;;;;31024
2010-01;2.0;2.0;2.0;2.0;2.0;2.0;1.0;1.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;;31099
2012-01;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;1.0;;;;;31099
2014-01;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;;;;;31099
2018-01;2.0;2.0;2.0;2.0;2.0;2.0;2.0;;;;;;;;;;31099
2019-01;1.0;1.0;1.0;1.0;1.0;1.0;;;;;;;;;;;31099
2021-01;1.0;1.0;1.0;1.0;;;;;;;;;;;;;31099
2022-01;1.0;1.0;1.0;;;;;;;;;;;;;;31099
2024-01;1.0;;;;;;;;;;;;;;;;31099
2009-01;11.0;9.0;5.0;3.0;4.0;3.0;3.0;3.0;2.0;2.0;2.0;2.0;2.0;2.0;1.0;1.0;31075
2010-01;4.0;4.0;1.0;2.0;1.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;1.0;1.0;1.0;;31075
2012-01;4.0;4.0;4.0;4.0;4.0;4.0;4.0;3.0;3.0;3.0;3.0;3.0;1.0;;;;31075
2014-01;1.0;;;;;;;;;;;;;;;;31075
2015-01;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;;;;;;31075
2016-01;6.0;6.0;6.0;4.0;4.0;4.0;4.0;4.0;4.0;;;;;;;;31075
2017-01;2.0;2.0;2.0;1.0;1.0;1.0;1.0;1.0;;;;;;;;;31075
2019-01;2.0;2.0;2.0;2.0;2.0;2.0;;;;;;;;;;;31075
2020-01;2.0;2.0;2.0;2.0;2.0;;;;;;;;;;;;31075
2021-01;3.0;3.0;3.0;3.0;;;;;;;;;;;;;31075
2022-01;10.0;7.0;7.0;;;;;;;;;;;;;;31075
2023-01;6.0;6.0;;;;;;;;;;;;;;;31075
2024-01;3.0;;;;;;;;;;;;;;;;31075
2009-01;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;1.0;1.0;;;;;;31086
2010-01;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;;;;;;;;;31086
2012-01;2.0;2.0;2.0;2.0;2.0;2.0;1.0;;1.0;1.0;2.0;2.0;2.0;;;;31086
2017-01;4.0;4.0;3.0;3.0;3.0;3.0;3.0;3.0;;;;;;;;;31086
2018-01;2.0;2.0;2.0;2.0;2.0;2.0;2.0;;;;;;;;;;31086
2019-01;1.0;;;1.0;1.0;1.0;;;;;;;;;;;31086
2020-01;2.0;2.0;2.0;2.0;2.0;;;;;;;;;;;;31086
2022-01;1.0;1.0;1.0;;;;;;;;;;;;;;31086
2024-01;2.0;;;;;;;;;;;;;;;;31086
2015-01;1.0;1.0;;;;;;;;;;;;;;;31002
2022-01;2.0;2.0;2.0;;;;;;;;;;;;;;31002
2023-01;1.0;1.0;;;;;;;;;;;;;;;31002
2013-01;1.0;1.0;1.0;1.0;;;;;;;;;;;;;31022
2014-01;1.0;;;;;;;;;;;;;;;;31022
2015-01;2.0;2.0;;;;;;;;;;;;;;;31022
2016-01;1.0;;;;;;;;;;;;;;;;31022
2017-01;1.0;1.0;1.0;;;;;;;;;;;;;;31022
2020-01;1.0;1.0;1.0;1.0;;;;;;;;;;;;;31022
2023-01;1.0;1.0;;;;;;;;;;;;;;;31022
2009-01;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;31007
2015-01;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;;;;;;;31007
2016-01;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;;;;;;;31007
2017-01;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;;;;;;;;;31007
2018-01;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;;;;;;;;;31007
2019-01;1.0;1.0;1.0;1.0;1.0;1.0;;;;;;;;;;;31007
2020-01;1.0;1.0;1.0;1.0;;;;;;;;;;;;;31007
2021-01;1.0;1.0;1.0;1.0;;;;;;;;;;;;;31007
2022-01;2.0;2.0;2.0;;;;;;;;;;;;;;31007
2024-01;6.0;;;;;;;;;;;;;;;;31007
2023-01;1.0;;;;;;;;;;;;;;;;31052
2024-01;1.0;;;;;;;;;;;;;;;;31052
2021-01;1.0;1.0;1.0;1.0;;;;;;;;;;;;;31023
2022-01;1.0;1.0;1.0;;;;;;;;;;;;;;31023
2009-01;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;31097
2010-01;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;2.0;1.0;;31097
2011-01;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;;;31097
2012-01;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;;;;31097
